model	objective	gene	status	value
./model.xml	obj	G_b0325	optimal	0.8769972144269683
./model.xml	obj	G_b0331	optimal	0.8769972144269719
./model.xml	obj	G_b0333	optimal	0.8769972144269551
./model.xml	obj	G_b0334	optimal	0.8769972144269752
./model.xml	obj	G_b0335	optimal	0.8769972144269677
./model.xml	obj	G_b0336	optimal	0.8769972144269675
./model.xml	obj	G_b0337	optimal	0.8769972144269758
./model.xml	obj	G_b0339	optimal	0.8769972144269707
./model.xml	obj	G_b0340	optimal	0.876997214426969
./model.xml	obj	G_b0341	optimal	0.8769972144269733
./model.xml	obj	G_b0343	optimal	0.8769972144269641
./model.xml	obj	G_b0344	optimal	0.8769972144269746
./model.xml	obj	G_b0347	optimal	0.8769972144269758
./model.xml	obj	G_b0348	optimal	0.8769972144269138
./model.xml	obj	G_b0349	optimal	0.8769972144269631
./model.xml	obj	G_b0350	optimal	0.8769972144269726
./model.xml	obj	G_b0351	optimal	0.8769972144269694
./model.xml	obj	G_b0352	optimal	0.8769972144269665
./model.xml	obj	G_b0353	optimal	0.876997214426971
./model.xml	obj	G_b0355	optimal	0.8769972144269683
./model.xml	obj	G_b0356	optimal	0.8769972144269591
./model.xml	obj	G_b0365	optimal	0.8769972144269748
./model.xml	obj	G_b0366	optimal	0.8769972144269697
./model.xml	obj	G_b0367	optimal	0.8769972144269673
./model.xml	obj	G_b0368	optimal	0.8769972144269675
./model.xml	obj	G_b0369	optimal	-3.0233823582040333e-16
./model.xml	obj	G_b0376	optimal	0.8769972144269719
./model.xml	obj	G_b0381	optimal	0.8769972144268909
./model.xml	obj	G_b0383	optimal	0.8769972144269734
./model.xml	obj	G_b0386	optimal	3.36794987937587e-16
./model.xml	obj	G_b0388	optimal	0.876997214426969
./model.xml	obj	G_b0394	optimal	0.8769972144269746
./model.xml	obj	G_b0401	optimal	0.8769972144269735
./model.xml	obj	G_b0402	optimal	0.8769972144269723
./model.xml	obj	G_b0403	optimal	0.876997214426969
./model.xml	obj	G_b0404	optimal	0.8769972144269644
./model.xml	obj	G_b0411	optimal	0.8769972144269665
./model.xml	obj	G_b0414	optimal	-3.2822526319540246e-16
./model.xml	obj	G_b0415	optimal	-1.1775223868936092e-13
./model.xml	obj	G_b0417	optimal	-1.99145876104875e-16
./model.xml	obj	G_b0418	optimal	0.8769972144269653
./model.xml	obj	G_b0420	optimal	0.0
./model.xml	obj	G_b0421	optimal	1.6254844029263363e-17
./model.xml	obj	G_b0423	optimal	0.0
./model.xml	obj	G_b0425	optimal	0.8769972144269631
./model.xml	obj	G_b0428	optimal	0.8769972144269672
./model.xml	obj	G_b0429	optimal	0.7776142830847719
./model.xml	obj	G_b0430	optimal	0.7776142830890671
./model.xml	obj	G_b0431	optimal	0.7776142830847973
./model.xml	obj	G_b0432	optimal	0.7776142831265236
./model.xml	obj	G_b0433	optimal	0.8769972144269665
./model.xml	obj	G_b0444	optimal	0.876997214426967
./model.xml	obj	G_b0446	optimal	0.8769972144271828
./model.xml	obj	G_b0451	optimal	0.8769972144269642
./model.xml	obj	G_b0452	optimal	0.869774270138806
./model.xml	obj	G_b0459	optimal	0.8769972144269672
./model.xml	obj	G_b0462	optimal	0.8769972144269707
./model.xml	obj	G_b0463	optimal	0.8769972144269672
./model.xml	obj	G_b0465	optimal	0.876997214426966
./model.xml	obj	G_b0469	optimal	0.8769972144269588
./model.xml	obj	G_b0474	optimal	0.8769949942192852
./model.xml	obj	G_b0475	optimal	0.8769972144269724
./model.xml	obj	G_b0477	optimal	0.8769972144269726
./model.xml	obj	G_b0480	optimal	0.8769972144269683
./model.xml	obj	G_b0484	optimal	0.8769972144269677
./model.xml	obj	G_b0485	optimal	0.876997214426973
./model.xml	obj	G_b0493	optimal	0.876997214426971
./model.xml	obj	G_b0494	optimal	0.876997214426974
./model.xml	obj	G_b0505	optimal	0.8769972144269672
./model.xml	obj	G_b0507	optimal	0.8769972144269702
./model.xml	obj	G_b0508	optimal	0.8769972144269722
./model.xml	obj	G_b0509	optimal	0.8769972144269675
./model.xml	obj	G_b0511	optimal	0.8769972144269713
./model.xml	obj	G_b0512	optimal	0.8769972144269698
./model.xml	obj	G_b0514	optimal	0.8769972144269733
./model.xml	obj	G_b0515	optimal	0.8769972144269658
./model.xml	obj	G_b0516	optimal	0.8769972144269683
./model.xml	obj	G_b0517	optimal	0.8769972144269709
./model.xml	obj	G_b0521	optimal	0.8728824162136298
./model.xml	obj	G_b0522	optimal	-4.714996076173602e-16
./model.xml	obj	G_b0523	optimal	3.6172974718477965e-15
./model.xml	obj	G_b0524	optimal	-2.8708630947452725e-16
./model.xml	obj	G_b0529	optimal	0.8675361014258328
./model.xml	obj	G_b0543	optimal	0.8769972144269712
./model.xml	obj	G_b0572	optimal	0.8769972144269677
./model.xml	obj	G_b0573	optimal	0.8769972144269665
./model.xml	obj	G_b0574	optimal	0.8769972144269688
./model.xml	obj	G_b0575	optimal	0.8769972144269591
