Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R_CLPNH181pp	Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)[p] + H2O H2O[p] => H+[p] + 1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate[p] + Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)[p] 		  0.00	1000.00	  0.00
R_CLPNS120pp	2 Phosphatidylglycerol (didodecanoyl, n-C12:0)[p] <=> Cardiolipin (tetradodecanoyl, n-C12:0)[p] + Glycerol[p] 	G_b0789 or G_b1249	-1000.00	1000.00	  0.00
R_CLPNS140pp	2 Phosphatidylglycerol (ditetradecanoyl, n-C14:0)[p] <=> Cardiolipin (tetratetradecanoyl, n-C14:0)[p] + Glycerol[p] 	G_b1249 or G_b0789	-1000.00	1000.00	  0.00
R_CLPNS141pp	2 Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)[p] <=> Cardiolipin (tetratetradec-7-enoyl, n-C14:1)[p] + Glycerol[p] 	G_b1249 or G_b0789	-1000.00	1000.00	  0.00
R_CLPNS160pp	2 Phosphatidylglycerol (dihexadecanoyl, n-C16:0)[p] <=> Cardiolipin (tetrahexadecanoyl, n-C16:0)[p] + Glycerol[p] 	G_b0789 or G_b1249	-1000.00	1000.00	  0.00
R_CLPNS161pp	2 Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)[p] <=> Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)[p] + Glycerol[p] 	G_b1249 or G_b0789	-1000.00	1000.00	  0.00
R_CLPNS180pp	2 Phosphatidylglycerol (dioctadecanoyl, n-C18:0)[p] <=> Cardiolipin (tetraoctadecanoyl, n-C18:0)[p] + Glycerol[p] 	G_b1249 or G_b0789	-1000.00	1000.00	  0.00
R_CLPNS181pp	2 Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)[p] <=> Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)[p] + Glycerol[p] 	G_b1249 or G_b0789	-1000.00	1000.00	  0.00
R_CLt3_2pp	2 Chloride[p] + H+[c] => 2 Chloride[c] + H+[p] 	G_b0155	  0.00	1000.00	  0.00
R_CLtex	Chloride[e] <=> Chloride[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CLtipp	Chloride[p] => Chloride[c] 	G_b1592	  0.00	1000.00	  0.00
R_CMPN	CMP C9H12N3O8P[c] + H2O H2O[c] => Cytosine[c] + Alpha-D-Ribose 5-phosphate[c] 		  0.00	1000.00	  0.00
R_CMPtex	CMP C9H12N3O8P[e] <=> CMP C9H12N3O8P[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CMtex	Chloramphenicol[e] <=> Chloramphenicol[p] 	G_b2215 or G_b0929 or G_b1377 or G_b0241	-1000.00	1000.00	  0.00
R_CMtpp	Chloramphenicol[p] + H+[p] => Chloramphenicol[e] + H+[c] 	(G_b0463 and G_b3035 and G_b2470) or (G_b0463 and G_b3035 and G_b0462)	  0.00	1000.00	  0.00
