reaction_id,reaction_equation,dead_end_test,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,ok,ok,ok,ok,N/A
2AGPGAT181,2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,ok,ok,ok,ok,N/A
2DDARAA,2ddara_c <=> gcald_c + pyr_c,only when going forwards,ok,ok,ok,N/A
2DGLCptspp,2dglc_p + pep_c --> 2doxg6p_c + pyr_c,2dglc_p;2doxg6p_c,ok,ok,ok,N/A
2DGLCtex,2dglc_e <=> 2dglc_p,2dglc_e;2dglc_p,ok,ok,ok,N/A
2DGULRGx,2dhguln_c + h_c + nadh_c --> glcn_c + nad_c,2dhguln_c,ok,ok,ok,N/A
2DGULRGy,2dhguln_c + h_c + nadph_c --> glcn_c + nadp_c,2dhguln_c,ok,ok,ok,N/A
2DGULRx,2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c,2dhguln_c,ok,ok,ok,N/A
2DGULRy,2dhguln_c + h_c + nadph_c --> idon__L_c + nadp_c,2dhguln_c,ok,ok,ok,N/A
2DOXG6PP,2doxg6p_c + h2o_c --> 2dglc_c + pi_c,2dglc_c;2doxg6p_c,ok,ok,ok,N/A
2HESR,dtgcl_c + 2 gthrd_c --> gthox_c + 2 mercpeth_c,dtgcl_c;mercpeth_c,ok,ok,ok,N/A
2HPTCOAT,2hptcoa_c + h2o_c --> 2hptcl_c + coa_c,2hptcl_c;2hptcoa_c,ok,ok,ok,N/A
2MAHMP,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,ok,ok,ok,ok,N/A
34dhpactex,34dhpac_e <=> 34dhpac_p,34dhpac_e;34dhpac_p,ok,ok,ok,N/A
3AMACHYD,3amac_c + h2o_c + h_c --> msa_c + nh4_c,ok,ok,ok,ok,N/A
3AMPtex,3amp_e <=> 3amp_p,3amp_e;3amp_p,ok,ok,ok,N/A
3CMPtex,3cmp_e <=> 3cmp_p,3cmp_e;3cmp_p,ok,ok,ok,N/A
3GMPtex,3gmp_e <=> 3gmp_p,3gmp_e;3gmp_p,ok,ok,ok,N/A
3HAD100,3hdecACP_c --> h2o_c + tdec2eACP_c,ok,ok,ok,ok,N/A
3HAD120,3hddecACP_c --> h2o_c + tddec2eACP_c,ok,ok,ok,ok,N/A
3HAD121,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c,ok,ok,ok,ok,N/A
3HAD140,3hmrsACP_c --> h2o_c + tmrs2eACP_c,ok,ok,ok,ok,N/A
3HAD141,3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c,ok,ok,ok,ok,N/A
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c,ok,ok,ok,ok,N/A
3HAD161,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c,ok,ok,ok,ok,N/A
3HAD180,3hoctaACP_c --> h2o_c + toctd2eACP_c,ok,ok,ok,ok,N/A
3HAD181,3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c,ok,ok,ok,ok,N/A
3HAD40,3haACP_c --> but2eACP_c + h2o_c,ok,ok,ok,ok,N/A
3HAD60,3hhexACP_c --> h2o_c + thex2eACP_c,ok,ok,ok,ok,N/A
3HAD80,3hoctACP_c --> h2o_c + toct2eACP_c,ok,ok,ok,ok,N/A
3HBZCT,3hbzcoa_c + h2o_c --> 3hbz_c + coa_c,3hbz_c;3hbzcoa_c,ok,ok,ok,N/A
3HCINNMH,3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,3hcinnm_c;dhcinnm_c,ok,ok,ok,N/A
3HPADHi,3hppnl_c + h2o_c + nad_c --> 3hpp_c + 2 h_c + nadh_c,3hppnl_c,ok,ok,ok,N/A
3HPPPNH,3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,3hpppn_c;dhpppn_c,ok,ok,ok,N/A
3HPPtex,3hpp_e <=> 3hpp_p,only when going forwards,ok,ok,ok,N/A
3HPPtpp,3hpp_c + h_c --> 3hpp_p + h_p,ok,ok,ok,ok,N/A
3KGK,3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,3dhguln_c;3dhgulnp_c,ok,ok,ok,N/A
3NTD2pp,3ump_p + h2o_p --> pi_p + uri_p,3ump_p,ok,ok,ok,N/A
3NTD4pp,3cmp_p + h2o_p --> cytd_p + pi_p,3cmp_p,ok,ok,ok,N/A
3NTD7pp,3amp_p + h2o_p --> adn_p + pi_p,3amp_p,ok,ok,ok,N/A
3NTD9pp,3gmp_p + h2o_p --> gsn_p + pi_p,3gmp_p,ok,ok,ok,N/A
3OAR100,3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAR120,3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAR121,3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c,ok,ok,ok,ok,N/A
3OAR140,3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,ok,ok,ok,ok,N/A
3OAR160,3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,ok,ok,ok,ok,N/A
3OAR180,3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAR181,3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c,ok,ok,ok,ok,N/A
3OAR40,actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAR60,3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAR80,3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c,only when going backwards,ok,ok,ok,N/A
3OAS100,h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS120,dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS121,cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS141,cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS160,h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS180,h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS181,h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS60,butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OAS80,h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,ok,ok,ok,ok,N/A
3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c,ok,ok,ok,ok,N/A
3PEPTabcpp,LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c,ok,ok,ok,ok,N/A
3PEPTtex,LalaDgluMdap_e <=> LalaDgluMdap_p,only when going forwards,ok,ok,ok,N/A
3SLAR,h_c + nadh_c + sla_c --> dhps_c + nad_c,dhps_c;sla_c,ok,ok,ok,N/A
3UMPtex,3ump_e <=> 3ump_p,3ump_e;3ump_p,ok,ok,ok,N/A
42A12BOOXpp,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p,34dhpac_p;dopa_p;h2o2_p,ok,ok,ok,N/A
4ABZGLUH,4abzglu_c + h2o_c <=> 4abz_c + glu__L_c,only when going forwards,ok,ok,ok,N/A
4ABZGLUtex,4abzglu_e <=> 4abzglu_p,only when going forwards,ok,ok,ok,N/A
4ABZGLUtr,4abzglu_p + h_p <=> 4abzglu_c + h_c,only when going forwards,ok,ok,ok,N/A
